date,revenue,cost,units_sold,marketing_spend,customer_count,website_visitors,employee_count,profit_margin,average_order_value,conversion_rate
2022-01-31,1265.98,2961.33,401,2544.55,45,2323,10,-1.34,28.13,0.019
2022-02-01,9574.7,6519.31,290,1609.32,76,6146,75,0.32,125.98,0.012
2022-02-02,1290.38,2196.88,409,2596.35,138,2767,30,-0.7,9.35,0.05
2022-02-03,12628.38,787.05,263,115.79,123,310,12,0.94,102.67,0.397
2022-02-04,7923.11,1314.16,92,202.01,164,2594,77,0.83,48.31,0.063
2022-02-05,8141.61,6912.34,376,2744.28,120,4781,95,0.15,67.85,0.025
2022-02-06,8643.12,5180.13,487,2348.46,177,4362,8,0.4,48.83,0.041
2022-02-07,2976.8,2249.65,373,1407.05,151,2607,25,0.24,19.71,0.058
2022-02-08,3366.51,4575.78,441,2285.47,109,3063,35,-0.36,30.89,0.036
2022-02-09,5122.85,4362.36,45,2871.35,118,3528,25,0.15,43.41,0.033
2022-02-10,9105.7,5346.86,229,2339.06,129,3475,29,0.41,70.59,0.037
2022-02-11,3546.71,2095.54,111,2542.88,88,5452,19,0.41,40.3,0.016
2022-02-12,2186.81,6955.9,144,2305.76,143,7594,39,-2.18,15.29,0.019
2022-02-13,14566.69,2682.14,454,587.81,170,4055,53,0.82,85.69,0.042
2022-02-14,818.74,5644.81,92,2517.36,192,5401,47,-5.89,4.26,0.036
2022-02-15,12139.11,424.16,499,665.82,28,3805,45,0.97,433.54,0.007
2022-02-16,11926.51,3169.46,142,2688.57,136,3505,41,0.73,87.69,0.039
2022-02-17,4809.6,3008.17,328,1430.08,38,5934,61,0.37,126.57,0.006
2022-02-18,2466.59,4484.83,203,2063.23,198,4138,46,-0.82,12.46,0.048
2022-02-19,2611.62,860.07,206,1542.0,33,1152,51,0.67,79.14,0.029
2022-02-20,10612.76,6384.01,217,372.57,160,813,96,0.4,66.33,0.197
2022-02-21,9820.7,1976.91,97,943.09,19,7360,65,0.8,516.88,0.003
2022-02-22,11849.81,5513.19,367,2952.82,191,2988,18,0.53,62.04,0.064
2022-02-23,14093.48,6484.73,205,2886.07,114,7111,72,0.54,123.63,0.016
2022-02-24,10532.95,4626.45,363,1029.41,178,787,57,0.56,59.17,0.226
2022-02-25,2759.85,6004.8,272,2989.26,186,429,88,-1.18,14.84,0.434
2022-02-26,4029.92,5396.32,32,2552.1,154,1846,38,-0.34,26.17,0.083
2022-02-27,12711.81,3037.58,318,1871.78,193,1307,80,0.76,65.86,0.148
2022-02-28,3534.94,6528.21,95,216.36,182,2242,28,-0.85,19.42,0.081
2022-03-01,1551.57,2569.2,70,2714.2,167,884,24,-0.66,9.29,0.189
2022-03-02,10697.56,4698.34,294,1716.54,181,2796,73,0.56,59.1,0.065
2022-03-03,6336.63,6039.56,168,2618.58,64,3920,34,0.05,99.01,0.016
2022-03-04,13840.58,3217.96,238,2519.84,156,6596,92,0.77,88.72,0.024
2022-03-05,9928.7,2631.31,141,2515.72,166,7173,11,0.73,59.81,0.023
2022-03-06,1811.08,3836.96,230,2124.7,11,5136,40,-1.12,164.64,0.002
2022-03-07,14243.92,6598.32,299,945.1,173,7227,42,0.54,82.33,0.024
2022-03-08,4249.08,7460.4,45,1074.86,156,5484,84,-0.76,27.24,0.028
2022-03-09,5389.58,4497.14,192,994.56,144,3818,56,0.17,37.43,0.038
2022-03-10,6332.78,5393.29,175,158.13,163,5875,19,0.15,38.85,0.028
2022-03-11,1242.75,7255.21,257,1789.45,120,7286,50,-4.84,10.36,0.016
2022-03-12,7699.47,1058.81,395,2126.62,47,2793,27,0.86,163.82,0.017
2022-03-13,2288.12,2087.01,101,2576.21,140,725,16,0.09,16.34,0.193
2022-03-14,6314.07,5758.53,375,506.48,111,7766,97,0.09,56.88,0.014
2022-03-15,5585.29,6642.83,432,1678.13,104,4334,48,-0.19,53.7,0.024
2022-03-16,11706.18,6899.12,292,123.22,101,3808,19,0.41,115.9,0.027
2022-03-17,12145.97,3496.33,87,375.77,80,6959,97,0.71,151.82,0.011
2022-03-18,2724.49,987.92,63,257.21,180,7840,53,0.64,15.14,0.023
2022-03-19,5814.99,3670.92,80,2203.89,199,861,25,0.37,29.22,0.231
2022-03-20,5913.62,2076.66,142,335.07,33,6029,19,0.65,179.2,0.005
2022-03-21,2695.45,2542.21,368,2177.71,176,7792,18,0.06,15.32,0.023
2022-03-22,12077.58,6246.46,215,823.91,77,4079,46,0.48,156.85,0.019
2022-03-23,10754.81,881.56,349,2645.37,137,6498,84,0.92,78.5,0.021
2022-03-24,3260.54,6672.38,428,2458.13,102,7352,19,-1.05,31.97,0.014
2022-03-25,5817.47,3593.05,498,2877.71,53,3629,67,0.38,109.76,0.015
2022-03-26,2034.17,4889.69,342,2662.91,142,1655,72,-1.4,14.33,0.086
2022-03-27,9609.0,990.32,130,2806.66,64,3733,31,0.9,150.14,0.017
2022-03-28,2259.89,2897.66,277,2590.35,167,775,91,-0.28,13.53,0.215
2022-03-29,14796.05,990.7,108,2110.81,38,4287,97,0.93,389.37,0.009
2022-03-30,11819.89,7703.89,452,593.75,163,7867,57,0.35,72.51,0.021
2022-03-31,6158.46,6515.91,217,887.95,163,5288,56,-0.06,37.78,0.031
2022-04-01,8889.18,3839.17,301,716.91,46,136,67,0.57,193.24,0.338
2022-04-02,13714.46,2021.74,219,1850.4,124,3936,77,0.85,110.6,0.032
2022-04-03,8534.44,7487.6,118,1560.5,190,1887,57,0.12,44.92,0.101
2022-04-04,3030.23,2953.39,46,2614.53,167,6383,61,0.03,18.15,0.026
2022-04-05,5991.2,1539.58,108,2862.75,12,7110,56,0.74,499.27,0.002
2022-04-06,12725.6,4636.37,165,1274.09,131,2827,47,0.64,97.14,0.046
2022-04-07,9841.09,7567.06,201,1568.42,52,7833,11,0.23,189.25,0.007
2022-04-08,9935.5,329.49,276,2917.4,16,5397,46,0.97,620.97,0.003
2022-04-09,13068.91,2133.56,208,901.09,134,3980,8,0.84,97.53,0.034
2022-04-10,13462.61,7526.05,259,2397.93,58,6032,73,0.44,232.11,0.01
2022-04-11,13836.99,1617.36,378,753.2,130,1994,9,0.88,106.44,0.065
2022-04-12,1875.31,1171.97,406,2076.23,82,7885,79,0.38,22.87,0.01
2022-04-13,8389.83,4690.44,215,835.49,50,236,96,0.44,167.8,0.212
2022-04-14,11237.39,6936.2,316,2662.83,115,6433,84,0.38,97.72,0.018
2022-04-15,11475.44,3973.75,184,1728.29,86,5859,45,0.65,133.44,0.015
2022-04-16,9297.38,7958.14,326,639.21,191,6585,98,0.14,48.68,0.029
2022-04-17,2918.42,5529.62,290,750.67,136,5778,8,-0.89,21.46,0.024
2022-04-18,12062.6,870.38,27,1532.16,100,3176,6,0.93,120.63,0.031
2022-04-19,10941.61,7944.81,57,2888.65,164,5167,71,0.27,66.72,0.032
2022-04-20,1748.97,3440.79,133,2331.96,17,7524,25,-0.97,102.88,0.002
2022-04-21,7225.24,2513.0,358,1516.1,41,3983,74,0.65,176.23,0.01
2022-04-22,3022.67,4595.67,75,1079.39,73,761,47,-0.52,41.41,0.096
2022-04-23,5393.42,2643.17,450,1692.88,147,6486,86,0.51,36.69,0.023
2022-04-24,762.18,965.72,493,2270.25,22,1910,73,-0.27,34.64,0.012
2022-04-25,6304.78,311.0,378,2373.39,102,7987,13,0.95,61.81,0.013
2022-04-26,8473.22,3761.79,157,1041.37,172,514,88,0.56,49.26,0.335
2022-04-27,9483.95,6743.85,121,2191.36,70,7894,32,0.29,135.49,0.009
2022-04-28,10120.61,4706.83,353,2007.59,191,6950,30,0.53,52.99,0.027
2022-04-29,12626.22,7993.9,196,2881.43,17,442,86,0.37,742.72,0.038
2022-04-30,3624.21,2508.72,188,2800.16,38,2829,87,0.31,95.37,0.013
2022-05-01,2246.99,2459.5,358,2389.2,104,3550,7,-0.09,21.61,0.029
2022-05-02,12847.29,1530.07,305,2197.84,50,3765,77,0.88,256.95,0.013
2022-05-03,2770.89,1563.29,280,894.72,167,3837,99,0.44,16.59,0.044
2022-05-04,14634.02,2495.94,394,2553.3,158,6896,53,0.83,92.62,0.023
2022-05-05,12716.8,6404.87,242,1339.77,20,3997,21,0.5,635.84,0.005
2022-05-06,7762.71,7274.33,218,889.5,11,4341,67,0.06,705.7,0.003
2022-05-07,14730.61,7808.17,230,1214.07,187,4518,59,0.47,78.77,0.041
2022-05-08,1911.96,2088.63,306,2524.21,178,2269,27,-0.09,10.74,0.078
2022-05-09,4894.45,7085.99,199,531.04,140,5471,38,-0.45,34.96,0.026
2022-05-10,9754.25,2827.56,269,1422.86,89,1978,73,0.71,109.6,0.045
2022-05-11,5575.1,1168.87,250,1527.84,188,4070,19,0.79,29.65,0.046
2022-05-12,13961.4,6999.19,491,206.23,96,6554,51,0.5,145.43,0.015
2022-05-13,1451.58,5198.01,42,667.66,162,4796,7,-2.58,8.96,0.034
2022-05-14,8466.47,1568.43,67,2497.55,167,4670,87,0.81,50.7,0.036
2022-05-15,9067.56,3609.7,128,2509.23,115,2717,32,0.6,78.85,0.042
2022-05-16,9964.56,2511.88,315,948.0,148,1615,7,0.75,67.33,0.092
2022-05-17,4207.16,5973.32,25,2637.2,26,674,8,-0.42,161.81,0.039
2022-05-18,5786.21,3791.3,57,2338.17,163,4542,92,0.34,35.5,0.036
2022-05-19,12733.37,7917.46,188,1311.93,32,2967,35,0.38,397.92,0.011
2022-05-20,3326.67,721.54,375,2270.38,193,5706,49,0.78,17.24,0.034
2022-05-21,12489.58,3033.62,302,2887.87,189,3644,63,0.76,66.08,0.052
2022-05-22,8658.5,4010.63,222,1431.01,57,4577,49,0.54,151.9,0.012
2022-05-23,11551.72,4174.13,344,791.44,29,5499,79,0.64,398.34,0.005
2022-05-24,10847.31,2732.71,332,2831.27,11,171,41,0.75,986.12,0.064
2022-05-25,3508.92,5915.15,292,1850.86,97,2668,69,-0.69,36.17,0.036
2022-05-26,8747.78,7035.55,263,405.27,40,3537,13,0.2,218.69,0.011
2022-05-27,13081.99,7528.14,346,1760.78,164,3080,21,0.42,79.77,0.053
2022-05-28,6765.69,6499.22,494,1551.68,139,1217,69,0.04,48.67,0.114
2022-05-29,14515.57,6849.47,66,2581.21,87,5592,7,0.53,166.85,0.016
2022-05-30,7057.12,4539.2,268,1639.02,13,2486,30,0.36,542.86,0.005
2022-05-31,2570.39,6659.34,98,840.17,150,3608,57,-1.59,17.14,0.042
2022-06-01,6146.8,2636.98,129,2059.37,172,1459,35,0.57,35.74,0.118
2022-06-02,14299.68,3368.29,32,1673.47,137,4859,30,0.76,104.38,0.028
2022-06-03,5135.95,2740.23,414,775.83,143,1615,27,0.47,35.92,0.089
2022-06-04,13087.42,3898.88,399,1763.52,40,6087,34,0.7,327.19,0.007
2022-06-05,13278.13,2498.96,384,2482.45,147,139,14,0.81,90.33,1.058
2022-06-06,5577.7,7704.41,109,182.86,30,1482,76,-0.38,185.92,0.02
2022-06-07,1707.24,2708.9,361,1929.47,32,2130,93,-0.59,53.35,0.015
2022-06-08,11006.09,1054.94,367,1113.8,140,2721,68,0.9,78.61,0.051
2022-06-09,5016.93,4356.49,299,948.75,169,5473,26,0.13,29.69,0.031
2022-06-10,11852.39,739.66,240,1238.5,157,5161,19,0.94,75.49,0.03
2022-06-11,6918.5,1151.18,92,1091.87,38,6824,60,0.83,182.07,0.006
2022-06-12,7536.37,1989.3,253,2513.49,114,7665,78,0.74,66.11,0.015
2022-06-13,11779.69,3875.5,279,896.91,61,2000,24,0.67,193.11,0.03
2022-06-14,6044.27,3636.03,132,2226.14,124,2317,51,0.4,48.74,0.054
2022-06-15,6925.35,6457.63,65,372.77,183,7957,91,0.07,37.84,0.023
2022-06-16,5954.76,5993.95,293,2859.05,171,4896,57,-0.01,34.82,0.035
2022-06-17,5826.44,3582.65,62,1904.72,110,4706,57,0.39,52.97,0.023
2022-06-18,8126.23,2869.52,227,2149.48,93,1383,5,0.65,87.38,0.067
2022-06-19,12227.59,2736.81,436,964.31,70,683,6,0.78,174.68,0.102
2022-06-20,5745.64,6259.76,368,1295.08,134,5179,62,-0.09,42.88,0.026
2022-06-21,8101.69,700.96,122,748.96,80,558,23,0.91,101.27,0.143
2022-06-22,10225.55,398.73,143,2804.35,79,6772,66,0.96,129.44,0.012
2022-06-23,4406.87,6425.69,29,1515.5,148,6101,82,-0.46,29.78,0.024
2022-06-24,4524.08,3974.03,348,1928.3,117,6584,76,0.12,38.67,0.018
2022-06-25,14034.49,1307.78,206,2229.39,30,6300,16,0.91,467.82,0.005
2022-06-26,10991.25,2113.86,50,1176.21,140,2365,30,0.81,78.51,0.059
2022-06-27,8869.21,7480.28,175,2188.29,91,2766,31,0.16,97.46,0.033
2022-06-28,9891.94,6918.17,79,2060.38,97,915,33,0.3,101.98,0.106
2022-06-29,924.84,5765.34,268,2146.41,120,7952,19,-5.23,7.71,0.015
2022-06-30,9462.49,4013.13,406,1518.77,19,6974,50,0.58,498.03,0.003
2022-07-01,7887.88,4306.49,393,1210.52,164,2611,5,0.45,48.1,0.063
2022-07-02,8413.37,7809.38,458,744.04,21,346,64,0.07,400.64,0.061
2022-07-03,5711.65,7736.43,289,2491.42,16,4925,96,-0.35,356.98,0.003
2022-07-04,1681.37,1957.57,461,1864.22,154,6616,61,-0.16,10.92,0.023
2022-07-05,3303.42,6545.51,236,1388.62,123,516,7,-0.98,26.86,0.238
2022-07-06,14285.8,1818.77,418,2837.59,35,5250,22,0.87,408.17,0.007
2022-07-07,6426.14,1944.24,21,238.73,24,4563,56,0.7,267.76,0.005
2022-07-08,7266.91,5505.92,43,2565.5,42,6802,64,0.24,173.02,0.006
2022-07-09,1264.29,3418.51,225,2992.99,71,3817,38,-1.7,17.81,0.019
2022-07-10,1044.71,7472.89,339,2672.13,56,207,97,-6.15,18.66,0.271
2022-07-11,10899.13,985.37,218,2450.27,104,2731,93,0.91,104.8,0.038
2022-07-12,8302.37,4238.75,375,1185.49,44,938,64,0.49,188.69,0.047
2022-07-13,7876.24,7372.62,133,770.81,85,4613,30,0.06,92.66,0.018
2022-07-14,4025.31,7261.68,299,2231.07,132,5839,76,-0.8,30.49,0.023
2022-07-15,11298.89,1505.27,174,983.27,92,5016,23,0.87,122.81,0.018
2022-07-16,2939.43,3123.11,184,610.52,34,1521,26,-0.06,86.45,0.022
2022-07-17,3254.05,5067.23,241,2380.93,66,7539,97,-0.56,49.3,0.009
2022-07-18,7180.33,1527.34,110,1006.38,41,4878,37,0.79,175.13,0.008
2022-07-19,4651.06,7753.77,186,2751.88,72,7383,42,-0.67,64.6,0.01
2022-07-20,4088.21,7343.57,466,2537.83,21,4012,39,-0.8,194.68,0.005
2022-07-21,9855.95,1585.52,226,2558.16,72,7853,71,0.84,136.89,0.009
2022-07-22,9939.09,1232.9,301,2337.55,86,355,87,0.88,115.57,0.242
2022-07-23,12455.5,957.65,84,2654.56,101,7348,14,0.92,123.32,0.014
2022-07-24,6556.77,7302.72,395,2436.67,10,2927,95,-0.11,655.68,0.003
2022-07-25,1559.73,1790.9,23,1847.28,188,7395,19,-0.15,8.3,0.025
2022-07-26,4468.16,3505.39,176,957.89,79,937,15,0.22,56.56,0.084
2022-07-27,14710.08,3756.16,268,2675.81,145,3062,94,0.74,101.45,0.047
2022-07-28,9145.75,4912.39,276,2537.75,142,2382,28,0.46,64.41,0.06
2022-07-29,10791.19,852.36,254,1471.35,95,652,81,0.92,113.59,0.146
2022-07-30,606.69,2046.04,325,213.33,48,280,8,-2.37,12.64,0.171
2022-07-31,8013.98,7472.48,385,1951.78,32,4352,17,0.07,250.44,0.007
2022-08-01,1044.17,7294.76,489,246.73,77,1577,77,-5.99,13.56,0.049
2022-08-02,8753.84,6315.94,414,2786.21,189,670,61,0.28,46.32,0.282
2022-08-03,13851.18,449.39,93,2888.73,13,5052,41,0.97,1065.48,0.003
2022-08-04,14542.08,2817.95,206,649.52,135,5980,52,0.81,107.72,0.023
2022-08-05,8338.01,5135.28,81,2061.53,184,1827,75,0.38,45.32,0.101
2022-08-06,7143.97,2418.96,356,367.58,30,5243,5,0.66,238.13,0.006
2022-08-07,14202.75,7303.82,183,2215.6,193,5692,64,0.49,73.59,0.034
2022-08-08,10267.34,5180.95,75,1107.13,114,5619,16,0.5,90.06,0.02
2022-08-09,1441.04,853.68,130,2075.05,75,7191,25,0.41,19.21,0.01
2022-08-10,7253.02,7299.34,237,1181.34,196,691,15,-0.01,37.01,0.284
2022-08-11,3983.55,7674.8,259,522.15,16,6377,48,-0.93,248.97,0.003
2022-08-12,7312.16,898.39,40,1277.72,58,4616,62,0.88,126.07,0.013
2022-08-13,7104.25,4399.17,160,426.75,25,2360,48,0.38,284.17,0.011
2022-08-14,8941.1,2635.9,284,1772.96,154,3047,82,0.71,58.06,0.051
2022-08-15,5673.17,3324.86,158,218.76,93,6725,38,0.41,61.0,0.014
2022-08-16,2881.92,1683.31,478,1629.23,96,447,29,0.42,30.02,0.215
2022-08-17,7803.93,4751.16,89,2670.47,107,265,8,0.39,72.93,0.404
2022-08-18,12537.94,7676.44,404,2529.83,84,5132,68,0.39,149.26,0.016
2022-08-19,10128.18,4173.66,137,2660.07,43,4543,94,0.59,235.54,0.009
2022-08-20,5406.33,938.44,217,2773.94,170,2996,20,0.83,31.8,0.057
2022-08-21,14065.08,5074.01,224,403.13,35,4593,14,0.64,401.86,0.008
2022-08-22,13727.01,2919.72,233,473.37,75,682,70,0.79,183.03,0.11
2022-08-23,3535.55,6890.62,75,1715.32,134,6969,39,-0.95,26.38,0.019
2022-08-24,1071.55,3647.02,306,2692.52,72,3606,87,-2.4,14.88,0.02
2022-08-25,11248.98,1784.86,489,2925.61,96,5796,10,0.84,117.18,0.017
2022-08-26,12500.35,1771.51,312,234.16,50,7488,23,0.86,250.01,0.007
2022-08-27,14534.04,6219.48,194,1131.74,195,4503,63,0.57,74.53,0.043
2022-08-28,13402.63,2345.02,366,717.39,107,3138,57,0.83,125.26,0.034
2022-08-29,9207.75,6207.7,389,2292.3,133,2945,12,0.33,69.23,0.045
2022-08-30,8185.76,1885.33,481,1956.56,88,7964,82,0.77,93.02,0.011
2022-08-31,903.7,2776.99,147,447.68,19,2866,14,-2.07,47.56,0.007
2022-09-01,4076.52,3884.25,450,1502.21,24,6709,71,0.05,169.86,0.004
2022-09-02,7164.41,7562.61,397,2087.78,51,4294,42,-0.06,140.48,0.012
2022-09-03,9613.31,7474.33,344,2359.12,102,1365,33,0.22,94.25,0.075
2022-09-04,8580.15,1892.91,461,158.15,194,4353,19,0.78,44.23,0.045
2022-09-05,11268.22,3058.29,311,2682.36,26,6853,91,0.73,433.39,0.004
2022-09-06,4556.62,1450.38,307,1750.92,197,4749,27,0.68,23.13,0.041
2022-09-07,8691.81,4226.89,245,2454.54,18,4846,86,0.51,482.88,0.004
2022-09-08,1778.06,3846.49,83,2443.02,123,3067,50,-1.16,14.46,0.04
2022-09-09,6498.15,7235.85,474,650.57,45,2374,87,-0.11,144.4,0.019
2022-09-10,11377.33,7461.04,445,419.5,45,2570,32,0.34,252.83,0.018
2022-09-11,10554.31,3253.47,67,2191.73,57,7339,30,0.69,185.16,0.008
2022-09-12,14864.32,4086.38,221,553.64,60,2390,14,0.73,247.74,0.025
2022-09-13,4529.42,7201.02,356,2564.82,106,2677,51,-0.59,42.73,0.04
2022-09-14,7723.74,6511.65,433,2205.95,128,3760,8,0.16,60.34,0.034
2022-09-15,5278.19,328.15,424,2541.29,104,1168,59,0.94,50.75,0.089
2022-09-16,6888.75,2764.46,79,967.14,79,5691,70,0.6,87.2,0.014
2022-09-17,12925.78,3547.66,416,1018.13,83,6614,71,0.73,155.73,0.013
2022-09-18,10421.03,2068.82,276,2046.54,89,6074,11,0.8,117.09,0.015
2022-09-19,13295.4,1836.7,84,191.19,77,6895,59,0.86,172.67,0.011
2022-09-20,3450.91,590.94,258,2206.84,159,2836,84,0.83,21.7,0.056
2022-09-21,13163.74,5253.95,308,2523.77,86,4929,35,0.6,153.07,0.017
2022-09-22,1366.55,2321.33,57,1303.97,125,2050,78,-0.7,10.93,0.061
2022-09-23,13384.69,703.07,44,2318.15,15,191,23,0.95,892.31,0.079
2022-09-24,5271.57,2078.54,429,606.37,163,3193,32,0.61,32.34,0.051
2022-09-25,5061.52,6474.74,480,1034.56,84,2319,85,-0.28,60.26,0.036
2022-09-26,7925.28,6856.47,78,2925.48,97,5823,32,0.13,81.7,0.017
2022-09-27,14140.01,4019.61,495,2960.35,12,5411,23,0.72,1178.33,0.002
2022-09-28,1192.83,3503.74,436,1586.55,61,5296,91,-1.94,19.55,0.012
2022-09-29,5607.35,7829.47,376,2809.38,83,5500,24,-0.4,67.56,0.015
2022-09-30,12920.29,1844.35,402,1615.92,134,1487,17,0.86,96.42,0.09
2022-10-01,6242.79,1958.27,316,945.61,197,4374,81,0.69,31.69,0.045
2022-10-02,3387.78,2547.38,177,874.01,74,2385,47,0.25,45.78,0.031
2022-10-03,6659.52,1630.23,76,2795.57,61,3306,15,0.76,109.17,0.018
2022-10-04,6090.51,3221.12,452,600.09,85,3024,52,0.47,71.65,0.028
2022-10-05,13773.53,7313.42,67,1780.93,151,7145,19,0.47,91.22,0.021
2022-10-06,11548.05,5038.18,347,1711.02,98,379,21,0.56,117.84,0.259
2022-10-07,7824.18,3471.99,452,2244.9,81,5238,58,0.56,96.59,0.015
2022-10-08,14831.37,7494.96,450,1547.8,77,1718,54,0.49,192.62,0.045
2022-10-09,7246.52,673.17,75,889.63,165,2887,32,0.91,43.92,0.057
2022-10-10,1344.45,1919.13,84,591.25,147,470,87,-0.43,9.15,0.313
2022-10-11,4302.98,4657.34,287,1900.37,124,5996,8,-0.08,34.7,0.021
2022-10-12,6823.02,5039.76,88,2185.07,66,3283,26,0.26,103.38,0.02
2022-10-13,2775.09,604.59,235,1751.61,75,3934,90,0.78,37.0,0.019
2022-10-14,14239.69,3403.4,409,2241.22,99,7943,43,0.76,143.84,0.012
2022-10-15,11619.31,5298.49,108,510.41,59,7113,38,0.54,196.94,0.008
2022-10-16,4390.16,5675.14,468,2659.16,23,1803,48,-0.29,190.88,0.013
2022-10-17,9066.67,5213.68,300,1788.95,25,7262,46,0.42,362.67,0.003
2022-10-18,10961.01,2768.34,276,467.85,191,2368,44,0.75,57.39,0.081
2022-10-19,14148.54,1020.1,179,1439.58,180,7163,16,0.93,78.6,0.025
2022-10-20,13283.71,3588.77,253,2549.9,51,403,6,0.73,260.46,0.127
2022-10-21,7970.29,1291.41,150,2702.93,119,3874,32,0.84,66.98,0.031
2022-10-22,11732.46,7596.7,68,867.48,31,1448,78,0.35,378.47,0.021
2022-10-23,8651.1,3958.82,166,2162.67,77,5656,90,0.54,112.35,0.014
2022-10-24,8514.21,2742.9,335,389.96,28,6681,85,0.68,304.08,0.004
2022-10-25,2163.76,6200.54,432,197.28,75,5389,94,-1.87,28.85,0.014
2022-10-26,2329.0,4134.2,453,1725.16,176,2522,71,-0.78,13.23,0.07
2022-10-27,8178.24,2687.26,21,2115.0,82,3728,75,0.67,99.73,0.022
2022-10-28,4398.49,6552.15,348,2407.78,156,2528,76,-0.49,28.2,0.062
2022-10-29,805.04,6977.07,459,1086.63,153,3133,88,-7.67,5.26,0.049
2022-10-30,10981.17,5482.16,164,118.92,63,6257,80,0.5,174.3,0.01
2022-10-31,971.06,661.63,463,1490.61,162,6986,85,0.32,5.99,0.023
2022-11-01,9131.51,4660.69,385,145.98,121,768,96,0.49,75.47,0.158
2022-11-02,8318.31,6177.37,439,366.76,27,599,14,0.26,308.09,0.045
2022-11-03,14547.81,1351.07,80,1047.4,160,7913,90,0.91,90.92,0.02
2022-11-04,7521.09,2060.76,292,1367.8,126,1514,61,0.73,59.69,0.083
2022-11-05,1422.22,7095.21,68,910.46,94,5768,90,-3.99,15.13,0.016
2022-11-06,8499.48,454.94,351,1787.41,148,6808,41,0.95,57.43,0.022
2022-11-07,12695.89,6096.0,463,260.51,48,629,81,0.52,264.5,0.076
2022-11-08,14954.31,3948.05,423,519.28,114,6202,95,0.74,131.18,0.018
2022-11-09,6739.98,3740.15,453,2116.25,77,6735,68,0.45,87.53,0.011
2022-11-10,5144.33,354.64,150,512.21,34,3721,83,0.93,151.3,0.009
2022-11-11,13646.47,6609.37,62,1955.35,167,7966,90,0.52,81.72,0.021
2022-11-12,3273.01,3070.65,76,258.59,182,3556,98,0.06,17.98,0.051
2022-11-13,9423.72,4463.9,69,1281.41,132,5415,44,0.53,71.39,0.024
2022-11-14,6382.86,5515.22,471,614.49,130,854,64,0.14,49.1,0.152
2022-11-15,1095.69,5710.25,484,417.95,70,2447,52,-4.21,15.65,0.029
2022-11-16,5535.68,7661.05,197,1744.4,109,5010,23,-0.38,50.79,0.022
2022-11-17,4345.81,4391.32,312,2792.17,60,6790,76,-0.01,72.43,0.009
2022-11-18,10448.32,3377.84,65,258.88,107,826,37,0.68,97.65,0.13
2022-11-19,14257.46,7643.52,189,1322.51,146,4926,48,0.46,97.65,0.03
2022-11-20,4386.68,5244.25,290,2151.85,11,5023,96,-0.2,398.79,0.002
2022-11-21,12266.26,2595.76,436,1441.79,14,2749,41,0.79,876.16,0.005
