date,revenue,cost,profit_margin,units_sold,marketing_spend,customer_count,average_order_value,website_visitors,conversion_rate,employee_count
2023-11-12,329870,203450,38.3,2740,36500,2410,124.8,72890,3.3,72
2023-11-19,336540,206780,38.6,2780,37000,2450,125.2,74560,3.3,73
2023-11-26,327890,208970,36.3,2720,37500,2390,124.3,73240,3.3,74
2023-12-03,343450,211340,38.5,2820,38000,2490,125.7,76780,3.2,75
2023-12-10,352780,214560,39.2,2860,38500,2530,126.1,78450,3.2,76
2023-12-17,361230,218970,39.4,2910,39000,2570,126.6,80230,3.2,77
2023-12-24,354670,221340,37.6,2840,39500,2520,126.0,78970,3.2,77
2023-12-31,338970,219870,35.1,2760,39000,2460,125.0,76540,3.2,77
2024-01-07,347650,223450,35.7,2800,39500,2500,125.5,78230,3.2,77
2024-01-14,356780,226780,36.4,2850,40000,2540,126.0,79870,3.2,78
2024-01-21,363450,229340,36.9,2890,40500,2580,126.4,81560,3.2,79
2024-01-28,371230,232780,37.3,2940,41000,2620,126.9,83240,3.1,80
2024-02-04,378970,235670,37.8,2980,41500,2660,127.3,84890,3.1,81
2024-02-11,386540,238970,38.2,3030,42000,2700,127.8,86780,3.1,82
2024-02-18,393870,242340,38.5,3070,42500,2740,128.2,88450,3.1,83
2024-02-25,402560,245670,39.0,3120,43000,2780,128.7,90230,3.1,84
2024-03-03,396780,248970,37.3,3050,43500,2720,127.9,88970,3.1,84
2024-03-10,409870,251340,38.7,3160,44000,2820,129.1,92340,3.1,85
2024-03-17,416540,254560,38.9,3200,44500,2860,129.5,94780,3.0,86
2024-03-24,424870,257890,39.3,3240,45000,2900,130.0,96450,3.0,87
2024-03-31,431230,261230,39.4,3290,45500,2940,130.5,98230,3.0,88
2024-04-07,437890,264560,39.6,3330,46000,2980,130.9,99870,3.0,89
2024-04-14,444560,267890,39.7,3370,46500,3020,131.3,101560,3.0,90
2024-04-21,428970,265340,38.1,3270,46000,2930,130.2,98970,3.0,90
2024-04-28,454670,271230,40.3,3450,47000,3090,132.1,104890,2.9,92
2024-05-05,461340,274560,40.5,3490,47500,3130,132.5,106780,2.9,93
2024-05-12,468790,278970,40.5,3530,48000,3170,132.9,108450,2.9,94
2024-05-19,475670,282340,40.6,3580,48500,3210,133.4,110230,2.9,95
2024-05-26,483450,285670,40.9,3620,49000,3250,133.8,112780,2.9,96
2024-06-02,491230,289340,41.1,3670,49500,3290,134.3,114560,2.9,97
2024-06-09,498970,292780,41.3,3710,50000,3330,134.7,116890,2.8,98
